municipality,child_population
København,94286
Frederiksberg,14674
Dragør,2717
Tårnby,8100
Albertslund,4749
Ballerup,8791
Brøndby,6675
Gentofte,12955
Gladsaxe,12928
Glostrup,3910
Herlev,5340
Hvidovre,9983
Høje-Taastrup,10016
Ishøj,4228
Lyngby-Taarbæk,9738
Rødovre,7919
Vallensbæk,3572
Allerød,4962
Egedal,8635
Fredensborg,7310
Frederikssund,6812
Furesø,8301
Gribskov,5714
Halsnæs,4288
Helsingør,9643
Hillerød,9181
Hørsholm,3938
Rudersdal,10339
Bornholm,5226
Christiansø,21
Greve,9242
Køge,10230
Lejre,5158
Roskilde,14817
Solrød,4717
Faxe,5500
Guldborgsund,7947
Holbæk,11748
Kalundborg,6753
Lolland,4866
Næstved,12730
Odsherred,3874
Ringsted,5831
Slagelse,11721
Sorø,4910
Stevns,3513
Vordingborg,5798
Assens,6198
Faaborg-Midtfyn,8197
Kerteminde,3564
Langeland,1260
Middelfart,6199
Nordfyns,4425
Nyborg,4698
Odense,31044
Svendborg,9373
Ærø,648
Billund,4448
Esbjerg,18313
Fanø,436
Fredericia,8108
Haderslev,8290
Kolding,15816
Sønderborg,10916
Tønder,5492
Varde,8032
Vejen,7115
Vejle,21054
Aabenraa,8963
Favrskov,9416
Hedensted,7952
Horsens,16971
Norddjurs,4987
Odder,3968
Randers,15849
Samsø,449
Silkeborg,18090
Skanderborg,13577
Syddjurs,7071
Aarhus,54225
Herning,15138
Holstebro,9997
Ikast-Brande,7267
Lemvig,2588
Ringkøbing-Skjern,8864
Skive,6441
Struer,2818
Viborg,15951
Brønderslev,6242
Frederikshavn,7897
Hjørring,9452
Jammerbugt,5982
Læsø,167
Mariagerfjord,6214
Morsø,2817
Rebild,6015
Thisted,6652
Vesthimmerland,5418
Aalborg,32898
